Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
BSE,977641,1,1260NFL27,1260NFL27,F,0.01,
BSE,977640,1,10IML28,10IML28,F,0.01,
BSE,977639,1,895VL29,895VL29,F,0.01,
BSE,977638,1,766JCL31,766JCL31,F,0.01,
BSE,977637,1,11HFL31A,11HFL31A,F,0.01,
BSE,977636,1,1110FCPL29,1110FCPL29,F,0.01,
BSE,977635,1,1050HFL29A,1050HFL29A,F,0.01,
BSE,977634,1,11FCPL2028,11FCPL2028,F,0.01,
BSE,977633,1,1250TCL30,1250TCL30,F,0.01,
BSE,977632,1,719RECL31,719RECL31,F,0.01,
BSE,977631,1,990OFSL29,990OFSL29,F,0.01,
BSE,977630,1,840RHFL29,840RHFL29,F,0.01,
BSE,977629,1,760HFSL31,760HFSL31,F,0.01,
BSE,977628,1,1425CIPL28,1425CIPL28,F,0.01,
BSE,977627,1,1051SFCP27,1051SFCP27,F,0.01,
BSE,977626,1,759NEEPC36,759NEEPC36,F,0.01,
BSE,977625,1,11CFPL28,11CFPL28,F,0.01,
BSE,977624,1,774AFL36,774AFL36,F,0.01,
BSE,977623,1,85IFL28,85IFL28,F,0.01,
BSE,977622,1,1125NFL28,1125NFL28,F,0.01,
BSE,977621,1,1075SFLD28,1075SFLD28,F,0.01,
BSE,977620,1,790ABSLI36,790ABSLI36,F,0.01,
BSE,977619,1,RCPL060326,RCPL060326,F,0.01,
BSE,977618,1,750ATIT33,750ATIT33,F,0.01,
BSE,977617,1,1050BFCL27,1050BFCL27,F,0.01,
BSE,977616,1,0MCHPPL30,0MCHPPL30,F,0.01,
BSE,977615,1,875MFL29,875MFL29,F,0.01,
BSE,977614,1,71652MBR29,71652MBR29,F,0.01,
BSE,977613,1,1440AFIL28,1440AFIL28,F,0.01,
BSE,977612,1,96IND04930,96IND04930,F,0.01,
BSE,977611,1,89IND04930,89IND04930,F,0.01,
BSE,977610,1,920SCL36,920SCL36,F,0.01,
BSE,977609,1,710BOB33,710BOB33,F,0.01,
BSE,977608,100000,1150PW2628,1150PW2628,F,0.01,
BSE,977607,1,NWFL27226,NWFL27226,F,0.01,
BSE,977606,1,749EOPR36,749EOPR36,F,0.01,
BSE,977605,1,731PFCL36,731PFCL36,F,0.01,
BSE,977604,1,696PFCL28,696PFCL28,F,0.01,
BSE,977603,1,837ABCPERP,837ABCPERP,F,0.01,
BSE,977602,1,782KKRL29,782KKRL29,F,0.01,
BSE,977601,1,772KKRL37,772KKRL37,F,0.01,
BSE,977600,1,124PFSPL28,124PFSPL28,F,0.01,
BSE,977599,1,86IFSL28,86IFSL28,F,0.01,
BSE,977598,1,1075SFL28A,1075SFL28A,F,0.01,
BSE,977597,1,12VFPL29,12VFPL29,F,0.01,
BSE,977596,1,105ESPL28,105ESPL28,F,0.01,
BSE,977595,1,729NHPCL41,729NHPCL41,F,0.01,
BSE,977594,1,729NHPCL40,729NHPCL40,F,0.01,
BSE,977593,1,729NHPCL39,729NHPCL39,F,0.01,
BSE,977592,1,729NHPCL38,729NHPCL38,F,0.01,
BSE,977591,1,729NHPCL37,729NHPCL37,F,0.01,
BSE,977590,1,729NHPCL36,729NHPCL36,F,0.01,
BSE,977589,1,729NHPC35,729NHPC35,F,0.01,
BSE,977588,1,729NHPCL34,729NHPCL34,F,0.01,
BSE,977587,1,729NHPCL33,729NHPCL33,F,0.01,
BSE,977586,1,729NHPCL32,729NHPCL32,F,0.01,
BSE,977585,1,925MML28A,925MML28A,F,0.01,
BSE,977584,1,9AKCFL29,9AKCFL29,F,0.01,
BSE,977583,1,965MML28,965MML28,F,0.01,
BSE,977582,1,12FFSL28,12FFSL28,F,0.01,
BSE,977581,1,NWFL24226,NWFL24226,F,0.01,
BSE,977580,1,1160KDFL28,1160KDFL28,F,0.01,
BSE,977579,1,GHFL240226,GHFL240226,F,0.01,
BSE,977578,1,747KMIL28,747KMIL28,F,0.01,
BSE,977577,1,758KMIL29,758KMIL29,F,0.01,
BSE,977576,1,13UCIL27,13UCIL27,F,0.01,
BSE,977575,1,CSAI240226,CSAI240226,F,0.01,
BSE,977574,1,1050LIFL29,1050LIFL29,F,0.01,
