Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
MCX,477176,10,0.1,GOLDTEN,GOLDTEN31MAR26,31-MAR-2026,FUTCOM,XX,0,1,
MCX,487666,10,0.1,GOLDTEN,GOLDTEN30APR26,30-APR-2026,FUTCOM,XX,0,1,
MCX,488787,10,0.1,GOLDTEN,GOLDTEN29MAY26,29-MAY-2026,FUTCOM,XX,0,1,
MCX,510463,10,0.1,GOLDTEN,GOLDTEN30JUN26,30-JUN-2026,FUTCOM,XX,0,1,
MCX,552722,10,0.1,GOLDTEN,GOLDTEN31JUL26,31-JUL-2026,FUTCOM,XX,0,1,
MCX,562057,10,0.1,GOLDTEN,GOLDTEN31AUG26,31-AUG-2026,FUTCOM,XX,0,1,
MCX,488801,5,100,COTTONOIL,COTTONOIL31MAR26,31-MAR-2026,FUTCOM,XX,0,0.1,
MCX,510484,5,100,COTTONOIL,COTTONOIL30APR26,30-APR-2026,FUTCOM,XX,0,0.1,
MCX,552717,5,100,COTTONOIL,COTTONOIL29MAY26,29-MAY-2026,FUTCOM,XX,0,0.1,
MCX,562061,5,100,COTTONOIL,COTTONOIL30JUN26,30-JUN-2026,FUTCOM,XX,0,0.1,
MCX,488803,50,1,ELECDMBL,ELECDMBL30MAR26,30-MAR-2026,FUTCOM,XX,0,1,
MCX,510481,50,1,ELECDMBL,ELECDMBL29APR26,29-APR-2026,FUTCOM,XX,0,1,
MCX,552727,50,1,ELECDMBL,ELECDMBL29MAY26,29-MAY-2026,FUTCOM,XX,0,1,
MCX,562063,50,1,ELECDMBL,ELECDMBL29JUN26,29-JUN-2026,FUTCOM,XX,0,1,
MCX,559776,250,1,NATGASMINI,NATGASMINI23APR26P205,23-APR-2026,OPTFUT,PE,205,0.05,
MCX,559777,250,1,NATGASMINI,NATGASMINI23APR26P200,23-APR-2026,OPTFUT,PE,200,0.05,
MCX,559778,250,1,NATGASMINI,NATGASMINI23APR26P195,23-APR-2026,OPTFUT,PE,195,0.05,
MCX,559779,250,1,NATGASMINI,NATGASMINI23APR26P190,23-APR-2026,OPTFUT,PE,190,0.05,
MCX,559780,250,1,NATGASMINI,NATGASMINI23APR26P185,23-APR-2026,OPTFUT,PE,185,0.05,
MCX,559781,250,1,NATGASMINI,NATGASMINI23APR26P180,23-APR-2026,OPTFUT,PE,180,0.05,
MCX,559782,250,1,NATGASMINI,NATGASMINI23APR26P175,23-APR-2026,OPTFUT,PE,175,0.05,
MCX,559783,250,1,NATGASMINI,NATGASMINI23APR26P170,23-APR-2026,OPTFUT,PE,170,0.05,
MCX,559784,250,1,NATGASMINI,NATGASMINI23APR26P165,23-APR-2026,OPTFUT,PE,165,0.05,
MCX,559785,250,1,NATGASMINI,NATGASMINI23APR26P160,23-APR-2026,OPTFUT,PE,160,0.05,
MCX,559786,250,1,NATGASMINI,NATGASMINI23APR26P155,23-APR-2026,OPTFUT,PE,155,0.05,
MCX,559787,250,1,NATGASMINI,NATGASMINI23APR26P150,23-APR-2026,OPTFUT,PE,150,0.05,
MCX,559788,250,1,NATGASMINI,NATGASMINI23APR26P145,23-APR-2026,OPTFUT,PE,145,0.05,
MCX,559789,250,1,NATGASMINI,NATGASMINI23APR26P140,23-APR-2026,OPTFUT,PE,140,0.05,
MCX,559790,250,1,NATGASMINI,NATGASMINI23APR26P135,23-APR-2026,OPTFUT,PE,135,0.05,
MCX,560597,250,1,NATGASMINI,NATGASMINI24MAR26C125,24-MAR-2026,OPTFUT,CE,125,0.05,
