Exchange,Token,LotSize,GNGD,Symbol,TradingSymbol,Expiry,Instrument,OptionType,StrikePrice,TickSize,
NCX,TMCFGRNZM12AUG26PE15400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE15400FAUG26,12-AUG-2026,OPTFUT,PE,15400,1,
NCX,TMCFGRNZM12AUG26CE14800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE14800FAUG26,12-AUG-2026,OPTFUT,CE,14800,1,
NCX,TMCFGRNZM12AUG26CE19800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE19800FAUG26,12-AUG-2026,OPTFUT,CE,19800,1,
NCX,TMCFGRNZM12AUG26CE17200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE17200FAUG26,12-AUG-2026,OPTFUT,CE,17200,1,
NCX,TMCFGRNZM12AUG26CE19400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE19400FAUG26,12-AUG-2026,OPTFUT,CE,19400,1,
NCX,TMCFGRNZM12AUG26PE16000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE16000FAUG26,12-AUG-2026,OPTFUT,PE,16000,1,
NCX,TMCFGRNZM12AUG26CE19000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE19000FAUG26,12-AUG-2026,OPTFUT,CE,19000,1,
NCX,TMCFGRNZM12AUG26CE18400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE18400FAUG26,12-AUG-2026,OPTFUT,CE,18400,1,
NCX,TMCFGRNZM12AUG26PE16200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE16200FAUG26,12-AUG-2026,OPTFUT,PE,16200,1,
NCX,TMCFGRNZM12AUG26CE16000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE16000FAUG26,12-AUG-2026,OPTFUT,CE,16000,1,
NCX,TMCFGRNZM12AUG26PE14600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE14600FAUG26,12-AUG-2026,OPTFUT,PE,14600,1,
NCX,TMCFGRNZM12AUG26PE15200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE15200FAUG26,12-AUG-2026,OPTFUT,PE,15200,1,
NCX,TMCFGRNZM12AUG26PE14000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE14000FAUG26,12-AUG-2026,OPTFUT,PE,14000,1,
NCX,TMCFGRNZM12AUG26CE18000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE18000FAUG26,12-AUG-2026,OPTFUT,CE,18000,1,
NCX,TMCFGRNZM12AUG26PE16400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE16400FAUG26,12-AUG-2026,OPTFUT,PE,16400,1,
NCX,TMCFGRNZM12AUG26CE17600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE17600FAUG26,12-AUG-2026,OPTFUT,CE,17600,1,
NCX,TMCFGRNZM12AUG26PE18600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE18600FAUG26,12-AUG-2026,OPTFUT,PE,18600,1,
NCX,TMCFGRNZM12AUG26PE17400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE17400FAUG26,12-AUG-2026,OPTFUT,PE,17400,1,
NCX,TMCFGRNZM12AUG26PE18800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE18800FAUG26,12-AUG-2026,OPTFUT,PE,18800,1,
NCX,TMCFGRNZM12AUG26PE15000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE15000FAUG26,12-AUG-2026,OPTFUT,PE,15000,1,
NCX,TMCFGRNZM12AUG26CE15200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE15200FAUG26,12-AUG-2026,OPTFUT,CE,15200,1,
NCX,TMCFGRNZM12AUG26PE15800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE15800FAUG26,12-AUG-2026,OPTFUT,PE,15800,1,
NCX,TMCFGRNZM12AUG26CE15400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE15400FAUG26,12-AUG-2026,OPTFUT,CE,15400,1,
NCX,TMCFGRNZM12AUG26PE18000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE18000FAUG26,12-AUG-2026,OPTFUT,PE,18000,1,
NCX,TMCFGRNZM12AUG26PE16800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE16800FAUG26,12-AUG-2026,OPTFUT,PE,16800,1,
NCX,TMCFGRNZM12AUG26CE19600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE19600FAUG26,12-AUG-2026,OPTFUT,CE,19600,1,
NCX,TMCFGRNZM12AUG26PE16600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE16600FAUG26,12-AUG-2026,OPTFUT,PE,16600,1,
NCX,TMCFGRNZM12AUG26PE20000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE20000FAUG26,12-AUG-2026,OPTFUT,PE,20000,1,
NCX,TMCFGRNZM12AUG26CE14200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE14200FAUG26,12-AUG-2026,OPTFUT,CE,14200,1,
NCX,TMCFGRNZM12AUG26PE14400FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE14400FAUG26,12-AUG-2026,OPTFUT,PE,14400,1,
NCX,TMCFGRNZM12AUG26CE14000FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE14000FAUG26,12-AUG-2026,OPTFUT,CE,14000,1,
NCX,TMCFGRNZM12AUG26CE15600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE15600FAUG26,12-AUG-2026,OPTFUT,CE,15600,1,
NCX,TMCFGRNZM12AUG26PE17200FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE17200FAUG26,12-AUG-2026,OPTFUT,PE,17200,1,
NCX,TMCFGRNZM12AUG26PE15600FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26PE15600FAUG26,12-AUG-2026,OPTFUT,PE,15600,1,
NCX,TMCFGRNZM12AUG26CE16800FAUG26,5,10,TMCFGRNZM,TMCFGRNZM12AUG26CE16800FAUG26,12-AUG-2026,OPTFUT,CE,16800,1,
