Exchange,Token,LotSize,Symbol,TradingSymbol,Instrument,TickSize,
NSE,26000,1,Nifty 50,NIFTY INDEX,INDEX,0,
NSE,26009,1,Nifty Bank,NIFTY BANK,INDEX,0,
NSE,26017,1,INDIAVIX,INDIA VIX,INDEX,0,
NSE,26037,1,Nifty Fin Services,FINNIFTY,INDEX,0,
NSE,26074,1,NIFTY MID SELECT,MIDCPNIFTY,INDEX,0,
NSE,26013,1,Nifty Next 50,NIFTYNXT50,INDEX,0,
NSE,17635,1,ZYDUSWELL,ZYDUSWELL-EQ,EQ,0.05,
NSE,7929,1,ZYDUSLIFE,ZYDUSLIFE-EQ,EQ,0.05,
NSE,3827,1,ZUARIIND,ZUARIIND-EQ,EQ,0.05,
NSE,29050,1,ZUARI,ZUARI-EQ,EQ,0.01,
NSE,23976,300,ZTECH,ZTECH-SM,SM,0.05,
NSE,11394,1,ZOTA,ZOTA-EQ,EQ,0.1,
NSE,3821,1,ZODIACLOTH,ZODIACLOTH-EQ,EQ,0.01,
NSE,7129,1,ZODIAC,ZODIAC-EQ,EQ,0.01,
NSE,12384,1,ZIMLAB,ZIMLAB-EQ,EQ,0.01,
NSE,16915,1,ZFCVINDIA,ZFCVINDIA-EQ,EQ,1,
NSE,7508,1,ZENTEC,ZENTEC-EQ,EQ,0.1,
NSE,1076,1,ZENSARTECH,ZENSARTECH-EQ,EQ,0.05,
NSE,14562,1,ZENITHSTL,ZENITHSTL-EQ,EQ,0.01,
NSE,4176,1,ZENITHEXPO,ZENITHEXPO-EQ,EQ,0.01,
NSE,22803,800,ZENITHDRUG,ZENITHDRUG-SM,SM,0.05,
NSE,14006,1,ZEEMEDIA,ZEEMEDIA-BE,BE,0.01,
NSE,20852,1,ZEELEARN,ZEELEARN-EQ,EQ,0.01,
NSE,3812,1,ZEEL,ZEEL-EQ,EQ,0.01,
NSE,17766,600,ZEAL,ZEAL-SM,SM,0.05,
NSE,18608,1,ZAGGLE,ZAGGLE-EQ,EQ,0.01,
NSE,5501,1,YUKEN,YUKEN-EQ,EQ,0.05,
NSE,18051,800,YUDIZ,YUDIZ-ST,ST,0.05,
NSE,11915,1,YESBANK,YESBANK-EQ,EQ,0.01,
NSE,17627,3000,YCCL,YCCL-SM,SM,0.05,
NSE,18760,1,YATRA,YATRA-EQ,EQ,0.01,
NSE,17738,1,YATHARTH,YATHARTH-EQ,EQ,0.05,
NSE,23451,800,YASHOPTICS,YASHOPTICS-SM,SM,0.05,
NSE,18131,1,YASHO,YASHO-EQ,EQ,0.1,
NSE,760870,1000,YAAP,YAAP-SM,SM,0.05,
NSE,25235,1,XTGLOBAL,XTGLOBAL-EQ,EQ,0.01,
NSE,11407,1,XPROINDIA,XPROINDIA-EQ,EQ,0.05,
NSE,8477,1,XELPMOC,XELPMOC-EQ,EQ,0.01,
NSE,11705,1,XCHANGING,XCHANGING-EQ,EQ,0.01,
NSE,22725,500,WTICAB,WTICAB-SM,SM,0.05,
NSE,3799,1,WSTCSTPAPR,WSTCSTPAPR-EQ,EQ,0.05,
NSE,14828,1,WSI,WSI-EQ,EQ,0.01,
NSE,22277,1,WORTHPERI,WORTHPERI-EQ,EQ,0.01,
NSE,3002,1,WONDERLA,WONDERLA-EQ,EQ,0.05,
NSE,19627,400,WOMANCART,WOMANCART-SM,SM,0.05,
NSE,25605,1000,WOL3D,WOL3D-ST,ST,0.05,
NSE,7506,1,WOCKPHARMA,WOCKPHARMA-EQ,EQ,0.1,
NSE,3787,1,WIPRO,WIPRO-EQ,EQ,0.01,
NSE,20481,1,WIPL,WIPL-EQ,EQ,0.01,
NSE,14757,1,WINSOME,WINSOME-BZ,BZ,0.01,
NSE,23714,400,WINSOL,WINSOL-SM,SM,0.05,
NSE,24173,500,WINNY,WINNY-SM,SM,0.05,
NSE,24969,1,WINDMACHIN,WINDMACHIN-EQ,EQ,0.05,
NSE,5366,1,WINDLAS,WINDLAS-EQ,EQ,0.05,
NSE,3772,1,WILLAMAGOR,WILLAMAGOR-EQ,EQ,0.01,
NSE,757665,1600,WHITEFORCE,WHITEFORCE-SM,SM,0.05,
NSE,18011,1,WHIRLPOOL,WHIRLPOOL-EQ,EQ,0.05,
NSE,3766,1,WHEELS,WHEELS-EQ,EQ,0.05,
NSE,759434,1,WEWORK,WEWORK-EQ,EQ,0.05,
NSE,9862,1,WEWIN,WEWIN-EQ,EQ,0.01,
NSE,11580,1,WESTLIFE,WESTLIFE-EQ,EQ,0.05,
NSE,4235,1,WENDT,WENDT-EQ,EQ,0.5,
NSE,11253,1,WELSPUNLIV,WELSPUNLIV-EQ,EQ,0.01,
NSE,19800,1,WELINV,WELINV-EQ,EQ,0.1,
NSE,11626,1,WELENT,WELENT-EQ,EQ,0.05,
NSE,11821,1,WELCORP,WELCORP-EQ,EQ,0.05,
NSE,7835,1,WEL,WEL-EQ,EQ,0.01,
NSE,3748,1,WEIZMANIND,WEIZMANIND-EQ,EQ,0.01,
NSE,14602,1,WEBELSOLAR,WEBELSOLAR-EQ,EQ,0.01,
NSE,1923,1,WEALTH,WEALTH-EQ,EQ,0.05,
NSE,25403,1,WCIL,WCIL-EQ,EQ,0.01,
NSE,14067,1,WANBURY,WANBURY-BE,BE,0.05,
NSE,5013,2000,WALPAR,WALPAR-SM,SM,0.05,
NSE,3736,1,WALCHANNAG,WALCHANNAG-EQ,EQ,0.01,
NSE,760259,1,WAKEFIT,WAKEFIT-EQ,EQ,0.01,
NSE,20188,1,WABAG,WABAG-EQ,EQ,0.1,
NSE,756038,1,WAAREERTL,WAAREERTL-EQ,EQ,0.05,
NSE,19959,1,WAAREEINDO,WAAREEINDO-BE,BE,0.05,
NSE,25907,1,WAAREEENER,WAAREEENER-EQ,EQ,0.1,
NSE,2073,1,VTL,VTL-EQ,EQ,0.05,
NSE,24292,1,VSTTILLERS,VSTTILLERS-EQ,EQ,0.5,
NSE,22730,1,VSTL,VSTL-EQ,EQ,0.01,
NSE,3724,1,VSTIND,VSTIND-EQ,EQ,0.01,
NSE,27067,1,VSSL,VSSL-EQ,EQ,0.05,
NSE,20973,3000,VSCL,VSCL-SM,SM,0.05,
NSE,8696,1,VRLLOG,VRLLOG-EQ,EQ,0.05,
NSE,24321,1,VRAJ,VRAJ-EQ,EQ,0.01,
NSE,23018,400,VR,VR-SM,SM,0.05,
NSE,18341,1,VPRPL,VPRPL-EQ,EQ,0.01,
NSE,3718,1,VOLTAS,VOLTAS-EQ,EQ,0.1,
NSE,13577,1,VOLTAMP,VOLTAMP-EQ,EQ,0.5,
NSE,29658,800,VOLERCAR,VOLERCAR-SM,SM,0.05,
NSE,759152,1,VMSTMT,VMSTMT-EQ,EQ,0.01,
NSE,27969,1,VMM,VMM-EQ,EQ,0.01,
NSE,29284,1,VMART,VMART-EQ,EQ,0.05,
