Date,Symbol,Move%,LT_Trend_Bull,LT_Trend_Bear,Slope_20,Slope_50,LTP_gt_YHigh,Open_gt_YClose,Gap%,Low_lt_YHigh,Avg_Wick_Ratio,Weekly_Color,EMA_Cross_Count,EMA_Always_Correct,Pullback_Occurred,Pullback_Depth,Pullback_Bucket,Reversal_Confirmed,Sideways_After_Gap,Candle_Compression,EMA_Flattening,ADX_Peak_Drop,Best_Time_Bucket,Bucket_1_Move,Bucket_2_Move,Bucket_3_Move,Bucket_4_Move,Filter_Match_Count
2025-12-16,ATGL,-1.18,False,True,-0.961,-0.944,False,False,-0.17,True,0.191,Red,62,False,False,0.15,,False,False,True,False,True,1,0.61,0.21,0.13,0.14,2
2025-12-19,ATGL,-2.27,False,True,-2.397,-1.704,False,False,-0.08,True,0.194,Red,41,False,True,1.2,4.0,True,False,False,False,True,4,0.73,0.09,0.03,1.32,2
2025-12-26,ATGL,1.06,False,True,0.828,0.934,True,True,0.04,True,0.229,Red,38,False,True,2.94,4.0,True,False,True,False,True,1,1.21,1.0,0.52,0.71,3
2025-12-29,ATGL,-1.25,False,True,-0.973,-1.045,False,False,-0.06,True,0.206,Red,61,False,False,0.16,,False,False,True,False,True,1,0.67,0.04,0.26,0.27,2
2026-01-01,ATGL,4.25,False,True,4.654,5.034,True,True,0.08,True,0.251,Green,33,False,True,5.06,4.0,True,False,True,False,True,1,6.9,0.46,0.51,1.52,2
2026-01-05,ATGL,-1.72,False,True,-1.737,-1.746,False,False,0.0,True,0.24,Red,43,False,True,0.46,4.0,True,False,False,False,True,1,1.22,0.34,0.01,0.1,2
2026-01-06,ATGL,-1.2,False,True,-1.216,-1.208,False,True,0.13,True,0.192,Red,50,False,True,0.26,4.0,False,False,True,True,True,1,0.61,0.48,0.24,0.06,2
2026-01-08,ATGL,-1.82,False,True,-1.369,-1.075,False,False,-0.02,True,0.207,Red,26,False,False,0.0,,False,False,True,False,True,2,0.01,1.32,0.35,0.77,3
2026-01-16,ATGL,-1.58,False,True,-1.497,-1.342,False,True,0.1,True,0.215,Red,45,False,False,0.19,,False,False,True,False,False,2,0.43,0.47,0.32,0.47,2
2026-01-20,ATGL,-1.57,False,True,-2.208,-2.127,False,True,0.13,True,0.235,Red,54,False,True,1.03,4.0,False,False,False,False,True,1,0.86,0.12,0.53,0.2,1
2026-01-21,ATGL,-1.3,False,False,-0.653,-0.919,False,False,-0.09,True,0.208,Red,38,False,True,1.99,3.0,True,False,True,False,True,3,0.79,0.89,0.92,0.45,2
2026-01-22,ATGL,2.14,True,False,1.938,2.111,True,True,0.84,True,0.209,Red,33,False,True,1.38,2.0,True,False,True,True,True,1,1.01,0.13,0.14,0.0,3
2025-12-11,TRENT,1.07,True,False,0.843,0.501,False,True,0.22,True,0.27,Red,27,False,False,0.0,,False,False,True,False,True,2,1.18,1.61,0.29,0.7,3
2025-12-15,TRENT,1.43,True,False,1.061,0.805,True,False,0.0,True,0.277,Green,31,False,True,0.22,4.0,True,False,True,False,True,4,0.18,0.24,0.35,1.03,3
2025-12-17,TRENT,-1.82,False,True,-1.62,-1.545,False,False,-0.27,True,0.264,Red,35,False,False,0.0,,False,False,False,False,True,1,0.65,0.02,0.33,0.55,2
2025-12-22,TRENT,3.82,True,False,3.5,3.422,True,True,0.4,True,0.273,Green,36,False,False,0.0,,False,False,False,False,True,4,1.36,0.19,0.29,1.54,2
2025-12-24,TRENT,2.32,True,False,2.386,2.271,True,True,0.62,True,0.264,Green,32,False,True,1.0,4.0,True,False,True,False,True,3,0.25,0.6,1.67,0.28,2
2025-12-29,TRENT,-1.3,False,False,-1.359,-1.387,False,True,0.54,True,0.255,Red,33,False,True,0.49,4.0,True,False,True,True,True,2,0.56,0.81,0.46,0.0,1
2025-12-31,TRENT,1.31,True,False,1.57,1.589,True,True,0.24,True,0.293,Red,25,False,True,0.66,4.0,True,False,True,False,True,1,0.66,0.47,0.01,0.08,2
2026-01-02,TRENT,2.37,False,True,2.503,2.722,True,True,0.05,True,0.261,Green,35,False,True,0.85,4.0,False,False,True,False,True,2,0.5,2.17,0.0,0.36,1
2026-01-06,TRENT,-8.2,False,False,-7.832,-8.366,False,False,-4.72,True,0.276,Red,31,False,True,1.63,4.0,True,False,True,False,True,1,2.44,0.37,0.0,0.84,2
2026-01-08,TRENT,-1.97,False,True,-1.782,-1.549,False,True,0.46,True,0.256,Red,31,False,False,0.12,,False,False,True,False,True,1,1.22,0.37,0.01,0.85,3
2026-01-12,TRENT,1.68,False,False,1.945,1.931,True,True,0.18,True,0.25,Green,43,False,True,0.45,4.0,True,False,True,False,True,1,0.83,0.27,0.56,0.37,1
2026-01-13,TRENT,-3.56,False,False,-3.469,-3.447,False,True,0.2,True,0.246,Red,24,False,True,2.82,4.0,True,False,True,False,True,3,1.15,0.47,2.82,0.67,3
2026-01-19,TRENT,1.08,True,False,1.088,1.04,False,False,-0.01,True,0.235,Green,42,False,True,0.45,4.0,True,False,True,True,True,1,0.75,0.29,0.06,0.56,2
2026-01-20,TRENT,-2.69,False,True,-2.783,-2.615,False,True,0.53,True,0.271,Red,32,False,True,0.55,4.0,True,False,True,True,False,1,1.8,0.59,0.66,0.21,2
