Date,Symbol,Direction,Total_Move%,Trend_20_gt_50,Trend_50_gt_100,Trend_Aligned,LTP_gt_YHigh,Open_gt_YClose,Gap%,Did_Dip_YHigh,Day_Wick_U,Day_Wick_L,Weekly_Color,EMA_Crosses,EMA_Always_Correct,Pullback_Happened,Pullback_Depth%,Pullback_Bucket,Reversal_Confirmed,PreRev_EMA_Gap,PreRev_ADX,PreRev_ATR_Ratio,Sideways_Post_Gap,PrePeak_Wick_U,PrePeak_Compression,ADX_Exhaustion,ATR_Compression,Best_Bucket,B1_Move,B2_Move,B3_Move,B4_Move,B1_Exhaustion,B4_Exhaustion
2025-12-03,ATGL,SHORT,-1.1,False,False,True,False,True,0.07,True,0.165,0.261,Red,41,False,True,0.68,4,True,0.045,26.35,1.36,False,0.215,False,True,False,1,0.71,0.41,0.07,0.03,True,True
2025-12-08,ATGL,SHORT,-3.29,False,False,True,False,True,0.17,True,0.152,0.306,Red,26,False,False,0.0,0,False,0.0,0.0,0.0,False,0.02,False,True,False,1,1.89,0.48,0.78,0.34,True,True
2025-12-09,ATGL,LONG,3.44,True,True,True,False,True,0.09,True,0.148,0.246,Red,46,False,True,0.88,4,True,0.349,52.48,1.82,False,0.091,False,True,False,4,0.7,0.68,0.03,1.92,True,True
2025-12-16,ATGL,SHORT,-1.18,False,False,True,False,False,-0.17,True,0.173,0.21,Red,62,False,False,0.0,0,False,0.0,0.0,0.0,False,0.224,False,True,True,1,0.61,0.21,0.13,0.14,True,True
2025-12-19,ATGL,SHORT,-2.27,False,False,True,False,False,-0.08,True,0.17,0.219,Red,41,False,True,1.2,4,True,0.329,45.92,1.72,False,0.092,False,True,False,4,0.73,0.09,0.03,1.32,True,True
2025-12-26,ATGL,LONG,1.06,False,False,False,True,True,0.04,True,0.186,0.271,Red,38,False,True,2.94,4,True,0.38,39.75,1.97,False,0.147,False,True,True,1,1.21,1.0,0.52,0.71,True,True
2025-12-29,ATGL,SHORT,-1.25,False,False,True,False,False,-0.06,True,0.195,0.217,Red,61,False,False,0.0,0,False,0.0,0.0,0.0,False,0.2,False,True,True,1,0.67,0.04,0.26,0.27,True,True
2026-01-01,ATGL,LONG,4.25,False,False,False,True,True,0.08,True,0.241,0.26,Green,33,False,True,5.06,4,True,0.248,76.93,1.01,False,0.192,False,True,True,1,6.9,0.46,0.51,1.52,True,False
2026-01-05,ATGL,SHORT,-1.72,False,False,True,False,False,0.0,True,0.177,0.303,Red,43,False,False,0.0,0,False,0.0,0.0,0.0,False,0.076,False,True,False,1,1.22,0.34,0.01,0.1,True,True
2026-01-06,ATGL,SHORT,-1.2,False,False,True,False,True,0.13,True,0.137,0.246,Red,50,False,False,0.0,0,False,0.0,0.0,0.0,False,0.112,False,True,True,1,0.61,0.48,0.24,0.06,True,True
2026-01-08,ATGL,SHORT,-1.82,False,False,True,False,False,-0.02,True,0.196,0.218,Red,26,False,False,0.0,0,False,0.0,0.0,0.0,False,0.145,False,True,True,2,0.01,1.32,0.35,0.77,True,False
2026-01-16,ATGL,SHORT,-1.58,False,False,True,False,True,0.1,True,0.204,0.227,Red,45,False,False,0.0,0,False,0.0,0.0,0.0,False,0.214,False,False,True,2,0.43,0.47,0.32,0.47,True,False
2026-01-20,ATGL,SHORT,-1.57,False,False,True,False,True,0.13,True,0.179,0.29,Red,54,False,False,0.0,0,False,0.0,0.0,0.0,False,0.071,False,True,False,1,0.86,0.12,0.53,0.2,True,True
2026-01-21,ATGL,SHORT,-1.3,True,False,True,False,False,-0.09,True,0.207,0.208,Red,38,False,True,1.99,3,True,0.163,40.3,0.94,False,0.112,False,True,True,3,0.79,0.89,0.92,0.45,True,True
2026-01-22,ATGL,LONG,2.14,True,True,True,True,True,0.84,True,0.205,0.213,Red,33,False,True,1.38,2,True,0.288,53.12,1.16,False,0.314,False,True,True,1,1.01,0.13,0.14,0.0,True,False
2025-12-08,TRENT,SHORT,-2.39,False,False,True,False,True,0.07,True,0.229,0.329,Red,36,False,True,0.67,4,True,0.043,23.14,1.01,False,0.1,False,True,False,4,0.76,0.15,0.77,0.83,True,True
2025-12-10,TRENT,SHORT,-1.76,False,False,True,False,False,-0.12,True,0.273,0.233,Red,37,False,False,0.0,0,False,0.0,0.0,0.0,False,0.186,False,True,True,4,0.12,0.06,0.5,1.16,True,True
2025-12-11,TRENT,LONG,1.07,True,True,True,False,True,0.22,True,0.267,0.274,Red,27,False,False,0.0,0,False,0.0,0.0,0.0,False,0.355,False,True,True,2,1.18,1.61,0.29,0.7,True,False
2025-12-15,TRENT,LONG,1.43,True,True,True,True,False,0.0,True,0.201,0.354,Green,31,False,False,0.0,0,False,0.0,0.0,0.0,False,0.135,False,True,True,4,0.18,0.24,0.35,1.03,True,False
2025-12-17,TRENT,SHORT,-1.82,False,False,True,False,False,-0.27,True,0.322,0.205,Red,35,False,False,0.0,0,False,0.0,0.0,0.0,False,0.241,False,True,False,1,0.65,0.02,0.33,0.55,True,True
2025-12-22,TRENT,LONG,3.82,True,True,True,True,True,0.4,True,0.236,0.31,Green,36,False,False,0.0,0,False,0.0,0.0,0.0,False,0.323,False,True,False,4,1.36,0.19,0.29,1.54,True,True
2025-12-24,TRENT,LONG,2.32,True,True,True,True,True,0.62,True,0.232,0.296,Green,32,False,True,1.0,4,True,0.136,71.6,1.57,False,0.328,False,True,True,3,0.25,0.6,1.67,0.28,True,True
2025-12-29,TRENT,SHORT,-1.3,True,False,True,False,True,0.54,True,0.207,0.303,Red,33,False,True,0.49,4,True,0.034,26.96,0.95,False,0.229,False,True,True,2,0.56,0.81,0.46,0.0,True,True
2025-12-31,TRENT,LONG,1.31,True,True,True,True,True,0.24,True,0.217,0.37,Red,25,False,True,0.66,4,True,0.044,26.87,1.13,False,0.102,False,True,True,1,0.66,0.47,0.01,0.08,False,True
2026-01-02,TRENT,LONG,2.37,False,False,False,True,True,0.05,True,0.234,0.287,Green,35,False,True,0.85,4,False,0.057,22.44,0.98,False,0.14,False,True,True,2,0.5,2.17,0.0,0.36,False,True
2026-01-06,TRENT,SHORT,-8.2,True,False,True,False,False,-4.72,False,0.265,0.286,Red,31,False,True,1.63,4,True,0.108,49.96,1.34,False,0.167,False,True,True,1,2.44,0.37,0.0,0.84,True,True
2026-01-08,TRENT,SHORT,-1.97,False,False,True,False,True,0.46,True,0.271,0.242,Red,31,False,False,0.0,0,False,0.0,0.0,0.0,False,0.285,False,True,True,1,1.22,0.37,0.01,0.85,True,True
2026-01-12,TRENT,LONG,1.68,False,True,True,True,True,0.18,True,0.225,0.275,Green,43,False,True,0.45,4,True,0.021,15.36,0.84,False,0.226,False,True,True,1,0.83,0.27,0.56,0.37,True,True
2026-01-13,TRENT,SHORT,-3.56,False,True,False,False,True,0.2,True,0.234,0.258,Red,24,False,True,2.82,4,True,0.338,59.83,2.17,False,0.18,False,True,True,3,1.15,0.47,2.82,0.67,True,False
2026-01-19,TRENT,LONG,1.08,True,True,True,False,False,-0.01,True,0.232,0.239,Green,42,False,True,0.45,4,True,0.067,41.49,0.99,False,0.208,False,True,True,1,0.75,0.29,0.06,0.56,True,True
2026-01-20,TRENT,SHORT,-2.69,False,False,True,False,True,0.53,True,0.339,0.203,Red,32,False,False,0.0,0,False,0.0,0.0,0.0,False,0.236,False,True,True,1,1.8,0.59,0.66,0.21,True,True
2026-01-21,TRENT,SHORT,-1.98,False,False,True,False,False,0.0,True,0.287,0.238,Red,29,False,True,3.08,3,True,0.054,33.32,1.06,False,0.418,True,True,True,1,2.66,0.08,1.2,0.39,True,True
2026-01-22,TRENT,LONG,1.33,True,True,True,False,True,0.39,True,0.212,0.267,Red,22,False,True,2.11,4,True,0.079,47.72,0.99,False,0.302,False,True,True,4,0.08,0.15,0.18,0.52,True,True
2026-01-23,TRENT,SHORT,-1.19,False,False,True,False,True,0.79,True,0.266,0.252,Red,22,False,True,0.23,3,True,0.065,19.13,0.97,False,0.257,True,True,True,1,1.6,0.2,0.59,0.0,True,False
2025-12-03,BEL,SHORT,-2.05,True,False,True,False,False,-0.27,True,0.141,0.364,Red,29,False,True,0.37,4,True,0.064,25.81,1.27,False,0.2,True,True,True,1,1.4,0.27,0.16,0.06,True,True
